Date,ID,Treatment,Length
20190628,H1_T1,Elevated,6.412
20190628,H1_T1,Elevated,6.316
20190628,H1_T1,Elevated,6.219
20190628,H1_T1,Elevated,5.715
20190628,H1_T1,Elevated,4.738
20190628,H1_T1,Elevated,7.561
20190628,H1_T1,Elevated,5.614
20190628,H1_T1,Elevated,6.503
20190628,H1_T1,Elevated,3.922
20190628,H1_T1,Elevated,6.035
20190628,H1_T1,Elevated,7.089
20190628,H1_T1,Elevated,4.381
20190628,H1_T1,Elevated,4.268
20190628,H1_T1,Elevated,5.524
20190628,H1_T1,Elevated,5.555
20190628,H1_T1,Elevated,5.825
20190628,H1_T1,Elevated,5.782
20190628,H1_T1,Elevated,5.187
20190628,H1_T1,Elevated,7.741
20190628,H1_T1,Elevated,6.584
20190628,H1_T1,Elevated,3.938
20190628,H1_T1,Elevated,5.728
20190628,H1_T1,Elevated,6.542
20190628,H1_T1,Elevated,4.472
20190628,H1_T1,Elevated,2.412
20190628,H1_T1,Elevated,5.616
20190628,H1_T1,Elevated,5.836
20190628,H1_T1,Elevated,4.313
20190628,H1_T1,Elevated,6.796
20190628,H1_T1,Elevated,6.289
20190628,H1_T1,Elevated,6.077
20190628,H1_T1,Elevated,4.201
20190628,H1_T1,Elevated,5.388
20190628,H1_T1,Elevated,5.298
20190628,H1_T1,Elevated,6.496
20190628,H1_T1,Elevated,4.99
20190628,H1_T1,Elevated,6.827
20190628,H1_T1,Elevated,6.356
20190628,H1_T1,Elevated,6.115
20190628,H1_T1,Elevated,3.636
20190628,H1_T1,Elevated,6.373
20190628,H1_T1,Elevated,6.692
20190628,H1_T1,Elevated,5.373
20190628,H1_T1,Elevated,5.82
20190628,H1_T1,Elevated,5.273
20190628,H1_T1,Elevated,6.374
20190628,H1_T1,Elevated,4.312
20190628,H1_T1,Elevated,5.416
20190628,H1_T1,Elevated,4.453
20190628,H1_T1,Elevated,6.475
20190628,H1_T1,Elevated,5.511
20190628,H1_T1,Elevated,6.073
20190628,H1_T1,Elevated,6.037
20190628,H1_T1,Elevated,5.288
20190628,H1_T1,Elevated,5.077
20190628,H1_T1,Elevated,5.772
20190628,H1_T1,Elevated,5.264
20190628,H1_T1,Elevated,5.656
20190628,H1_T1,Elevated,5.393
20190628,H1_T1,Elevated,5.6
20190628,H1_T1,Elevated,6.47
20190628,H1_T1,Elevated,6.207
20190628,H1_T1,Elevated,5.052
20190628,H1_T1,Elevated,4.116
20190628,H1_T1,Elevated,4.471
20190628,H1_T1,Elevated,6.708
20190628,H1_T1,Elevated,5.454
20190628,H1_T1,Elevated,5.624
20190628,H1_T1,Elevated,4.538
20190628,H1_T1,Elevated,5.862
20190628,H1_T1,Elevated,7.616
20190628,H1_T1,Elevated,7.688
20190628,H1_T1,Elevated,5.823
20190628,H1_T1,Elevated,4.914
20190628,H1_T1,Elevated,4.866
20190628,H1_T1,Elevated,5.621
20190628,H1_T2,Ambient,3.876
20190628,H1_T2,Ambient,3.089
20190628,H1_T2,Ambient,3.52
20190628,H1_T2,Ambient,5.472
20190628,H1_T2,Ambient,4.671
20190628,H1_T2,Ambient,5.083
20190628,H1_T2,Ambient,5.913
20190628,H1_T2,Ambient,4.787
20190628,H1_T2,Ambient,4.92
20190628,H1_T2,Ambient,2.329
20190628,H1_T2,Ambient,4.851
20190628,H1_T2,Ambient,4.777
20190628,H1_T2,Ambient,4.247
20190628,H1_T2,Ambient,4.277
20190628,H1_T2,Ambient,5.926
20190628,H1_T2,Ambient,5.742
20190628,H1_T2,Ambient,2.901
20190628,H1_T2,Ambient,3.774
20190628,H1_T2,Ambient,4.216
20190628,H1_T2,Ambient,4.939
20190628,H1_T2,Ambient,3.893
20190628,H1_T2,Ambient,3.46
20190628,H1_T2,Ambient,3.93
20190628,H1_T2,Ambient,5.676
20190628,H1_T2,Ambient,4.368
20190628,H1_T2,Ambient,3.131
20190628,H1_T2,Ambient,4.63
20190628,H1_T2,Ambient,5.168
20190628,H1_T2,Ambient,3.906
20190628,H1_T2,Ambient,4.104
20190628,H1_T2,Ambient,4.239
20190628,H1_T2,Ambient,6.627
20190628,H1_T2,Ambient,5.976
20190628,H1_T2,Ambient,5.277
20190628,H1_T2,Ambient,3.35
20190628,H1_T2,Ambient,3.883
20190628,H1_T2,Ambient,3.263
20190628,H1_T2,Ambient,5.023
20190628,H1_T2,Ambient,3.26
20190628,H1_T2,Ambient,4.753
20190628,H1_T2,Ambient,5.524
20190628,H1_T2,Ambient,5.666
20190628,H1_T2,Ambient,5.311
20190628,H1_T2,Ambient,5.588
20190628,H1_T2,Ambient,4.265
20190628,H1_T2,Ambient,3.173
20190628,H1_T2,Ambient,5.911
20190628,H1_T2,Ambient,3.354
20190628,H1_T3,Elevated,4.624
20190628,H1_T3,Elevated,4.35
20190628,H1_T3,Elevated,4.976
20190628,H1_T3,Elevated,6.578
20190628,H1_T3,Elevated,5.802
20190628,H1_T3,Elevated,6.107
20190628,H1_T3,Elevated,4.131
20190628,H1_T3,Elevated,5.251
20190628,H1_T3,Elevated,4.637
20190628,H1_T3,Elevated,4.793
20190628,H1_T3,Elevated,6.593
20190628,H1_T3,Elevated,3.167
20190628,H1_T3,Elevated,4.75
20190628,H1_T3,Elevated,5.075
20190628,H1_T3,Elevated,4.427
20190628,H1_T3,Elevated,7.023
20190628,H1_T3,Elevated,3.427
20190628,H1_T3,Elevated,5.539
20190628,H1_T3,Elevated,4.605
20190628,H1_T3,Elevated,5.746
20190628,H1_T3,Elevated,3.721
20190628,H1_T3,Elevated,5.826
20190628,H1_T3,Elevated,6.42
20190628,H1_T3,Elevated,4.329
20190628,H1_T3,Elevated,4.336
20190628,H1_T3,Elevated,4.883
20190628,H1_T3,Elevated,6.049
20190628,H1_T3,Elevated,5.154
20190628,H1_T3,Elevated,5.292
20190628,H1_T3,Elevated,2.71
20190628,H1_T3,Elevated,4.811
20190628,H1_T3,Elevated,6.044
20190628,H1_T3,Elevated,5.163
20190628,H1_T3,Elevated,5.135
20190628,H1_T3,Elevated,5.589
20190628,H1_T3,Elevated,5.735
20190628,H1_T3,Elevated,6.042
20190628,H1_T3,Elevated,5.286
20190628,H1_T3,Elevated,6.12
20190628,H1_T3,Elevated,4.73
20190628,H1_T3,Elevated,4.782
20190628,H1_T3,Elevated,6.784
20190628,H1_T3,Elevated,3.315
20190628,H1_T3,Elevated,5.749
20190628,H1_T4,Ambient,4.263
20190628,H1_T4,Ambient,4.027
20190628,H1_T4,Ambient,3.447
20190628,H1_T4,Ambient,2.876
20190628,H1_T4,Ambient,2.934
20190628,H1_T4,Ambient,3.245
20190628,H1_T4,Ambient,3.18
20190628,H1_T4,Ambient,2.56
20190628,H1_T4,Ambient,4.2
20190628,H1_T4,Ambient,1.155
20190628,H1_T4,Ambient,3.321
20190628,H1_T4,Ambient,2.43
20190628,H1_T4,Ambient,2.787
20190628,H1_T4,Ambient,1.999
20190628,H1_T4,Ambient,3.343
20190628,H1_T4,Ambient,2.67
20190628,H1_T4,Ambient,3.866
20190628,H1_T4,Ambient,2.71
20190628,H1_T4,Ambient,2.902
20190628,H1_T4,Ambient,3.028
20190628,H1_T4,Ambient,2.753
20190628,H1_T4,Ambient,3.354
20190628,H1_T4,Ambient,4.453
20190628,H1_T4,Ambient,2.827
20190628,H1_T4,Ambient,2.915
20190628,H1_T4,Ambient,3.544
20190628,H1_T4,Ambient,2.193
20190628,H1_T4,Ambient,4.784
20190628,H1_T4,Ambient,3.949
20190628,H1_T4,Ambient,3.522
20190628,H1_T4,Ambient,2.509
20190628,H1_T4,Ambient,1.719
20190628,H1_T4,Ambient,4.106
20190628,H1_T4,Ambient,4.482
20190628,H1_T4,Ambient,1.827
20190628,H1_T4,Ambient,3.828
20190628,H1_T4,Ambient,3.122
20190628,H1_T4,Ambient,3.03
20190628,H1_T4,Ambient,2.974
20190628,H1_T4,Ambient,3.572
20190628,H1_T4,Ambient,3.673
20190628,H1_T4,Ambient,3.921
20190628,H1_T4,Ambient,2.245
20190628,H1_T4,Ambient,1.274
20190628,H1_T4,Ambient,2.675
20190628,H1_T4,Ambient,3.169
20190628,H1_T4,Ambient,3.964
20190628,H1_T4,Ambient,3.42
20190628,H1_T4,Ambient,2.655
20190628,H1_T4,Ambient,3.056
20190628,H1_T5,Elevated,6.003
20190628,H1_T5,Elevated,4.458
20190628,H1_T5,Elevated,3.977
20190628,H1_T5,Elevated,5.259
20190628,H1_T5,Elevated,5.024
20190628,H1_T5,Elevated,5.843
20190628,H1_T5,Elevated,5.985
20190628,H1_T5,Elevated,2.974
20190628,H1_T5,Elevated,6.344
20190628,H1_T5,Elevated,5.848
20190628,H1_T5,Elevated,5.974
20190628,H1_T5,Elevated,3.575
20190628,H1_T5,Elevated,6.226
20190628,H1_T5,Elevated,3.914
20190628,H1_T5,Elevated,6.542
20190628,H1_T5,Elevated,4.682
20190628,H1_T5,Elevated,4.57
20190628,H1_T5,Elevated,3.939
20190628,H1_T5,Elevated,3.712
20190628,H1_T5,Elevated,4.445
20190628,H1_T5,Elevated,3.286
20190628,H1_T5,Elevated,6.953
20190628,H1_T5,Elevated,5.657
20190628,H1_T5,Elevated,6
20190628,H1_T5,Elevated,4.876
20190628,H1_T5,Elevated,4.514
20190628,H1_T5,Elevated,5.76
20190628,H1_T5,Elevated,6.053
20190628,H1_T5,Elevated,3.047
20190628,H1_T5,Elevated,5.061
20190628,H1_T5,Elevated,5.981
20190628,H1_T5,Elevated,4.67
20190628,H1_T5,Elevated,4.845
20190628,H1_T5,Elevated,4.721
20190628,H1_T5,Elevated,5.968
20190628,H1_T6,Ambient,5.098
20190628,H1_T6,Ambient,4.975
20190628,H1_T6,Ambient,4.723
20190628,H1_T6,Ambient,4.228
20190628,H1_T6,Ambient,2.438
20190628,H1_T6,Ambient,4.023
20190628,H1_T6,Ambient,3.084
20190628,H1_T6,Ambient,4.857
20190628,H1_T6,Ambient,4.076
20190628,H1_T6,Ambient,6.664
20190628,H1_T6,Ambient,4.85
20190628,H1_T6,Ambient,7.113
20190628,H1_T6,Ambient,5.416
20190628,H1_T6,Ambient,4.678
20190628,H1_T6,Ambient,4.052
20190628,H1_T6,Ambient,6.105
20190628,H1_T6,Ambient,3.264
20190628,H1_T6,Ambient,4.833
20190628,H1_T6,Ambient,5.514
20190628,H1_T6,Ambient,5.251
20190628,H1_T6,Ambient,3.759
20190628,H1_T6,Ambient,4.57
20190628,H1_T6,Ambient,2.208
20190628,H1_T6,Ambient,2.134
20190628,H1_T6,Ambient,3.559
20190628,H1_T6,Ambient,2.518
20190628,H1_T6,Ambient,2.628
20190628,H1_T6,Ambient,4.315
20190628,H1_T6,Ambient,5.862
20190628,H1_T6,Ambient,4.399
20190628,H1_T6,Ambient,5.037
20190628,H1_T6,Ambient,5.125
20190628,H1_T6,Ambient,6.048
20190628,H1_T6,Ambient,4.676
20190628,H1_T6,Ambient,5.137
20190628,H1_T6,Ambient,5.062
20190628,H1_T6,Ambient,5.095
20190628,H1_T6,Ambient,3.267
20190628,H1_T6,Ambient,3.43
20190628,H1_T6,Ambient,4.617
20190628,H1_T6,Ambient,3.597
20190628,H1_T6,Ambient,2.194
20190628,H1_T6,Ambient,4.654
20190628,H1_T6,Ambient,6.25
20190628,H1_T6,Ambient,2.662
20190628,H1_T6,Ambient,4.613
20190628,H1_T6,Ambient,3.995
20190628,H1_T6,Ambient,2.758
20190628,H1_T6,Ambient,5.764
20190628,H1_T6,Ambient,5.017
20190628,H1_T6,Ambient,4.646
20190628,H1_T6,Ambient,3.601
20190628,H1_T6,Ambient,5.78
20190628,H1_T6,Ambient,5.511
20190628,H1_T6,Ambient,5.022
20190628,H1_T6,Ambient,3.776
20190628,H1_T6,Ambient,4.421
20190628,H1_T6,Ambient,5.569
20190628,H1_T6,Ambient,6.216
20190628,H1_T6,Ambient,6.192
20190628,H1_T6,Ambient,5.732
20190628,H1_T6,Ambient,5.191
20190628,H1_T7,Elevated,3.877
20190628,H1_T7,Elevated,3.973
20190628,H1_T7,Elevated,4.416
20190628,H1_T7,Elevated,3.383
20190628,H1_T7,Elevated,3.076
20190628,H1_T7,Elevated,4.198
20190628,H1_T7,Elevated,4.881
20190628,H1_T7,Elevated,3.474
20190628,H1_T7,Elevated,3.829
20190628,H1_T7,Elevated,3.889
20190628,H1_T7,Elevated,5.011
20190628,H1_T7,Elevated,4.546
20190628,H1_T7,Elevated,4.012
20190628,H1_T7,Elevated,3.776
20190628,H1_T7,Elevated,4.792
20190628,H1_T7,Elevated,3.807
20190628,H1_T7,Elevated,3.215
20190628,H1_T7,Elevated,4.03
20190628,H1_T7,Elevated,4.141
20190628,H1_T7,Elevated,3.971
20190628,H1_T7,Elevated,4.042
20190628,H1_T7,Elevated,3.596
20190628,H1_T7,Elevated,3.733
20190628,H1_T7,Elevated,4.14
20190628,H1_T7,Elevated,3.563
20190628,H1_T7,Elevated,4.896
20190628,H1_T7,Elevated,4.034
20190628,H1_T7,Elevated,4.079
20190628,H1_T8,Ambient,3.649
20190628,H1_T8,Ambient,2.973
20190628,H1_T8,Ambient,3.009
20190628,H1_T8,Ambient,3.967
20190628,H1_T8,Ambient,4.374
20190628,H1_T8,Ambient,3.851
20190628,H1_T8,Ambient,2.775
20190628,H1_T8,Ambient,3.146
20190628,H1_T8,Ambient,2.896
20190628,H1_T8,Ambient,3.024
20190628,H1_T8,Ambient,3.305
20190628,H1_T8,Ambient,3.769
20190628,H1_T8,Ambient,3.304
20190628,H1_T8,Ambient,3.117
20190628,H1_T8,Ambient,2.78
20190628,H1_T8,Ambient,2.98
20190628,H1_T8,Ambient,3.096
20190628,H1_T8,Ambient,3.967
20190628,H1_T8,Ambient,2.393
20190628,H1_T8,Ambient,3.588
20190628,H1_T8,Ambient,3.124
20190628,H1_T8,Ambient,3.765
20190628,H1_T8,Ambient,3.51
20190628,H1_T8,Ambient,2.85
20190628,H1_T8,Ambient,2.938
20190628,H1_T8,Ambient,3.032
20190628,H1_T8,Ambient,2.962
20190628,H1_T8,Ambient,2.865
20190628,H1_T8,Ambient,3.215
20190628,H1_T8,Ambient,2.656
20190628,H1_T8,Ambient,2.818
20190628,H1_T8,Ambient,2.776
20190628,H1_T8,Ambient,3.088
20190628,H1_T8,Ambient,3.592
20190628,H1_T8,Ambient,3.153
20190628,H1_T8,Ambient,4.154
20190628,H1_T8,Ambient,3.219
20190628,H1_T8,Ambient,4.192
20190628,H1_T8,Ambient,4.978
20190628,H1_T8,Ambient,3.98
20190628,H1_T8,Ambient,3.105
20190628,H1_T8,Ambient,3.625
20190628,H1_T8,Ambient,3.738
20190628,H1_T8,Ambient,3.202
20190628,H1_T8,Ambient,4.339
20190628,H1_T8,Ambient,3.601
20190628,H1_T8,Ambient,3.808
20190628,H1_T8,Ambient,3.604
